fold,model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
3,specialist_lightgbm_calibrated,MACRO,1974.0,0.43781610560796574,0.5590125123579321,0.4864954904556018,0.23868165380930284,0.6690995711666358,1.0428380179716206,0.23270167347936974
3,specialist_catboost_calibrated,T0_cold,484.0,0.4793388429752066,0.5,0.4793388429752066,0.25002216258208587,0.6931957234410165,1.1069669247009148,0.21551724137931033
3,specialist_catboost_calibrated,T1_first_inquiry,483.0,0.4865424430641822,0.5795384351407001,0.5539507097894397,0.2445399342162951,0.6816102832944022,1.2583586626139818,0.2425531914893617
3,specialist_catboost_calibrated,T2_engaged,1007.0,0.34756703078450846,0.6580234833659492,0.4706936360968105,0.21066866104369655,0.6096165936880859,1.3958415841584157,0.29714285714285715
3,specialist_catboost_calibrated,MACRO,1974.0,0.43781610560796574,0.5791873061688831,0.5013277296204857,0.23507691928069252,0.6614742001411682,1.2537223904911041,0.2517377633371764
3,pooled_catboost_calibrated,T0_cold,484.0,0.4793388429752066,0.5138974411603723,0.48673796954634196,0.2512783116063608,0.6957368994443421,0.8940886699507389,0.2025862068965517
3,pooled_catboost_calibrated,T1_first_inquiry,483.0,0.4865424430641822,0.5208390528483186,0.4967612019265637,0.25022631741403767,0.6937381906851744,1.0905775075987842,0.20425531914893616
3,pooled_catboost_calibrated,T2_engaged,1007.0,0.34756703078450846,0.6564514024787997,0.4688275377703043,0.21155252116590004,0.6114002787416538,1.4813012729844413,0.26857142857142857
3,pooled_catboost_calibrated,MACRO,1974.0,0.43781610560796574,0.5637292988291636,0.48410890308106996,0.23768571672876618,0.6669584562903901,1.1553224835113214,0.22513765153897214
3,validation_selected_hybrid,T0_cold,484.0,0.4793388429752066,0.4923884783798577,0.46284938002051523,0.25129339964031355,0.6957675465846438,0.7663617171006334,0.1896551724137931
3,validation_selected_hybrid,T1_first_inquiry,483.0,0.4865424430641822,0.5795384351407001,0.5539507097894397,0.2445399342162951,0.6816102832944022,1.2583586626139818,0.2425531914893617
3,validation_selected_hybrid,T2_engaged,1007.0,0.34756703078450846,0.6580234833659492,0.4706936360968105,0.21066866104369655,0.6096165936880859,1.3958415841584157,0.29714285714285715
3,validation_selected_hybrid,MACRO,1974.0,0.43781610560796574,0.5766501322955023,0.49583124196892187,0.23550066496676839,0.6623314745223773,1.1401873212910103,0.24311707368200397
4,multihead_calibrated,T0_cold,484.0,0.4690082644628099,0.534908037504928,0.5102399801399657,0.24799615044931328,0.689125734454825,1.0443225748449159,0.22026431718061673
4,multihead_calibrated,T1_first_inquiry,484.0,0.47107438016528924,0.4784984923245615,0.4606883656288865,0.2511747575367875,0.6955097595916326,1.0830648048693161,0.20175438596491227
4,multihead_calibrated,T2_engaged,969.0,0.38802889576883387,0.581078899214237,0.45793614456153714,0.2344229710566908,0.6620948629658492,1.3549846457556483,0.2473404255319149
4,multihead_calibrated,MACRO,1937.0,0.4427038467989777,0.5314951430145755,0.4762881634434631,0.24453129301426388,0.6822434523374357,1.1607906751566268,0.22311970955914798
4,pooled_nn_calibrated,T0_cold,484.0,0.4690082644628099,0.5261831707776958,0.48709566978029384,0.249167971176225,0.6914890592399481,1.0008091342263779,0.23788546255506607
4,pooled_nn_calibrated,T1_first_inquiry,484.0,0.47107438016528924,0.4960766173245614,0.4710393166825304,0.2494204519317764,0.6919878435875332,1.0397422126745435,0.20614035087719298
4,pooled_nn_calibrated,T2_engaged,969.0,0.38802889576883387,0.5511867173764845,0.41789841035492803,0.2366598209275162,0.6662230960780177,1.0095964027198947,0.22340425531914893
4,pooled_nn_calibrated,MACRO,1937.0,0.4427038467989777,0.5244821684929138,0.45867779893925076,0.24508274801183919,0.6832333329684995,1.016715916540272,0.22247668958380265
4,separate_logistic,T0_cold,484.0,0.4690082644628099,0.48811258334904606,0.47174281712461663,0.2787370422261139,0.7591584461409429,0.8702688123707634,0.1762114537444934
4,separate_logistic,T1_first_inquiry,484.0,0.47107438016528924,0.4900459155701754,0.48242663338419134,0.2657579310611348,0.7300997664811558,1.0397422126745435,0.2236842105263158
4,separate_logistic,T2_engaged,969.0,0.38802889576883387,0.5270397545836173,0.43209876268521424,0.24948466007143877,0.7026361899185073,1.2487113402061856,0.23670212765957446
4,separate_logistic,MACRO,1937.0,0.4427038467989777,0.501732751167613,0.46208940439800744,0.2646598777862292,0.7306314675135352,1.0529074550838307,0.21219926397679456
4,specialist_random_forest_calibrated,T0_cold,484.0,0.4690082644628099,0.47830782152590884,0.442610973062591,0.24917738716506743,0.6915013252146904,0.6962150498966105,0.17180616740088106
4,specialist_random_forest_calibrated,T1_first_inquiry,484.0,0.47107438016528924,0.591539884868421,0.5280578985949337,0.24354718046775078,0.6800753087346817,1.126387397064089,0.2236842105263158
4,specialist_random_forest_calibrated,T2_engaged,969.0,0.38802889576883387,0.6037817085859853,0.4787096910750919,0.232072804683515,0.6581431850764744,1.4612579513051107,0.28191489361702127
4,specialist_random_forest_calibrated,MACRO,1937.0,0.4427038467989777,0.5578764716601051,0.48312618757753883,0.2415991241054444,0.6765732730086156,1.09462013275527,0.22580175718140605
4,specialist_extra_trees_calibrated,T0_cold,484.0,0.4690082644628099,0.5109275098990385,0.4711973099879536,0.24908932221911725,0.6913247402614666,0.8267553717522251,0.2026431718061674
4,specialist_extra_trees_calibrated,T1_first_inquiry,484.0,0.47107438016528924,0.4668996710526316,0.4640974611860563,0.2519443390912076,0.6970462613401395,0.9097744360902256,0.20175438596491227
4,specialist_extra_trees_calibrated,T2_engaged,969.0,0.38802889576883387,0.5482759857916831,0.4345459340218416,0.2394087377880604,0.6735753026463165,1.1690063610440886,0.22606382978723405
4,specialist_extra_trees_calibrated,MACRO,1937.0,0.4427038467989777,0.5087010555811178,0.45661356839861716,0.2468141330327951,0.6873154347493076,0.9685120562955131,0.21015379585277125
4,specialist_lightgbm_calibrated,T0_cold,484.0,0.4690082644628099,0.4854814103772776,0.47099204002035344,0.24978136492618727,0.6927160451321802,1.0443225748449159,0.2026431718061674
4,specialist_lightgbm_calibrated,T1_first_inquiry,484.0,0.47107438016528924,0.589038514254386,0.5278730837244007,0.2426530531056353,0.6781642851822659,1.213032581453634,0.2412280701754386
4,specialist_lightgbm_calibrated,T2_engaged,969.0,0.38802889576883387,0.5952917010512719,0.4699311419898393,0.2348576853930343,0.6635409856479672,1.3549846457556483,0.2632978723404255
