feature,columns,ap_drop_mean,ap_drop_std,auc_drop_mean,auc_drop_std,family
spot_vertical_height_m,spot_vertical_height_m,0.0011277131175178035,0.0018230134668291058,-0.0003067454933127323,0.001995604050746888,spot_static
days_since_first_inquiry,days_since_first_inquiry,0.0010658586383525347,0.0008627688718292562,0.0008882535375071887,0.0003367796166558619,interaction_history
requested_area_sqm,requested_area_sqm,0.0009773749738511528,0.001212634546406182,0.00014343865090127306,0.0006090007084903704,current_inquiry
spot_region,spot_region,0.0009201160050442914,0.0007455282572164696,-0.0010239387478194306,0.00046052501117077284,spot_static
max_budget_mxn_sale_total,max_budget_mxn_sale_total,0.0008677157313539352,0.0011321077713415976,1.938360147306639e-05,0.0011700729743105661,lead_intake
channel,channel,0.0008486523883967755,0.0006895211497189739,2.5198681915017395e-05,0.000609952384051894,current_inquiry
requested_to_spot_area_ratio,requested_to_spot_area_ratio,0.0008257631417058154,0.0006784582442284668,0.0004414615235509567,0.00018269912002527206,lead_spot_match
availability_days_until_available,availability_days_until_available,0.000765013863034647,0.001165802212907767,0.0008795309168442734,0.0014370045486026548,availability_asof
spot_building_status,spot_building_status,0.0007107794722671201,0.0009691555156356995,-0.0006997480131809341,0.0009760721819801181,spot_static
spot_natural_light,spot_natural_light,0.0005906489684422755,0.0003504494894967559,0.0002946307423918659,0.0005649465706098249,spot_static
source,source,0.0005846154364118839,0.0005964834055273066,0.00040317891064154396,0.0006713815269565008,lead_intake
prior_inquiries,prior_inquiries,0.0005778625135539617,0.0007069585248162375,9.812948245779829e-05,0.0003686668195702742,lead_intake
search_modality,search_modality,0.0005695196839991424,0.0011945586988916913,0.0010794243070361587,0.0004010476630475902,lead_intake
user_type,user_type,0.0005139002089090238,0.0007559612156792814,0.0008499709245977094,0.00042075142134048683,lead_intake
max_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,0.0004927334367436753,0.0011698837078702562,-0.0009262938553983968,0.0008636651729063263,lead_intake
