model,stage,n,positive_rate,roc_auc,average_precision,brier,log_loss,lift_top_10pct,recall_top_20pct
specialist_catboost_trajectory,T2_engaged,4112.0,0.3424124513618677,0.6231036091312534,0.4364495933777177,0.2164224703979027,0.6227752659976271,1.4602272727272727,0.2819602272727273
specialist_catboost_trajectory,MACRO,7980.0,0.4130020469799156,0.5807594359402387,0.4704812574856147,0.2351390681077298,0.6622648820047753,1.2262642102798942,0.24159613527352972
pooled_catboost_trajectory,T0_cold,1936.0,0.4452479338842975,0.5302164210380779,0.46711943859092053,0.24626906648001198,0.6856470395592775,1.0535077857775015,0.20765661252900233
pooled_catboost_trajectory,T1_first_inquiry,1932.0,0.45134575569358176,0.5765432966937857,0.5062102342449644,0.24425242880662554,0.681416935253089,1.1763217629811786,0.23623853211009174
pooled_catboost_trajectory,T2_engaged,4112.0,0.3424124513618677,0.6365632564550834,0.4523079124463238,0.2144551756852735,0.6184591797264495,1.481492718446602,0.2947443181818182
pooled_catboost_trajectory,MACRO,7980.0,0.4130020469799156,0.5811076580623157,0.4752125284274029,0.23499222365730366,0.6618410515129387,1.2371074224017606,0.24621315427363744
trajectory_validation_hybrid,T0_cold,1936.0,0.4452479338842975,0.534188172670201,0.4666234087001812,0.2461759462305765,0.6854526520327926,1.0419307771425839,0.2099767981438515
trajectory_validation_hybrid,T1_first_inquiry,1932.0,0.45134575569358176,0.5824043621256707,0.509888330364562,0.24325721568484548,0.6796446709951165,1.1420599640593965,0.2305045871559633
trajectory_validation_hybrid,T2_engaged,4112.0,0.3424124513618677,0.6381872709622108,0.452767107365242,0.21391794844405332,0.6172123388860525,1.4460503089143866,0.29332386363636365
trajectory_validation_hybrid,MACRO,7980.0,0.4130020469799156,0.5849266019193609,0.47642628214332844,0.23445037011982509,0.6607698873046539,1.2100136833721222,0.24460174964539283
